sub,condition,repetition,window,amplitude_uV,n_epochs
005,passive,1,P2,9.596167595433847,35
005,passive,1,P3,5.572049802213281,35
005,passive,2,N1,7.814771826521758,39
005,passive,2,P2,8.715329347876505,39
005,passive,2,P3,5.218530978925785,39
005,passive,3,N1,8.408205503688938,36
005,passive,3,P2,11.724657153463212,36
005,passive,3,P3,8.31628543250252,36
005,passive,4,N1,8.778882286824517,38
005,passive,4,P2,12.292894279955158,38
005,passive,4,P3,10.419636932637266,38
006,active,1,N1,2.1874270520391317,35
006,active,1,P2,3.976157285946656,35
006,active,1,P3,1.2288397482913287,35
006,active,2,N1,2.5502958221859595,31
006,active,2,P2,4.824056791533492,31
006,active,2,P3,2.044129814625398,31
006,active,3,N1,4.080727820397281,28
006,active,3,P2,5.891541876286853,28
006,active,3,P3,2.6208926763050626,28
006,active,4,N1,2.8642918134983835,35
006,active,4,P2,4.816520863579909,35
006,active,4,P3,1.4976601717002878,35
006,passive,1,N1,1.5818666212082302,38
006,passive,1,P2,3.983386025744869,38
006,passive,1,P3,-0.32553725661215455,38
006,passive,2,N1,2.586208285106449,35
006,passive,2,P2,5.829077978387929,35
006,passive,2,P3,1.6675173266766257,35
006,passive,3,N1,1.3347135169483908,36
006,passive,3,P2,4.273909047274774,36
006,passive,3,P3,0.835296212643003,36
006,passive,4,N1,3.33999854716093,33
006,passive,4,P2,5.771728982143336,33
006,passive,4,P3,3.6599815159664892,33
007,active,1,N1,4.332323697508244,39
007,active,1,P2,5.385014034008651,39
007,active,1,P3,4.505353734552819,39
007,active,2,N1,3.955407851036139,39
007,active,2,P2,5.080892371087815,39
007,active,2,P3,4.347130173916695,39
007,active,3,N1,5.701590904021192,38
007,active,3,P2,6.135513517378539,38
007,active,3,P3,5.656873222132936,38
007,active,4,N1,5.594172071170769,39
007,active,4,P2,7.174871599319447,39
007,active,4,P3,6.514557593555246,39
007,passive,1,N1,3.0675441768809444,39
007,passive,1,P2,5.002407086029373,39
007,passive,1,P3,3.278310588027306,39
007,passive,2,N1,3.849713622033929,37
007,passive,2,P2,5.701338658625022,37
007,passive,2,P3,5.4224414340511435,37
007,passive,3,N1,4.68803754179864,39
007,passive,3,P2,5.646221839428911,39
007,passive,3,P3,4.22526230917485,39
007,passive,4,N1,4.714606877279564,39
007,passive,4,P2,5.487047001088148,39
007,passive,4,P3,4.004614004194861,39
008,active,1,N1,7.464836442851613,16
008,active,1,P2,11.251575683098707,16
008,active,1,P3,8.33529752455606,16
008,active,2,N1,7.592700684375379,29
008,active,2,P2,11.166666245194293,29
008,active,2,P3,8.378149655672317,29
008,active,3,N1,8.106200532214528,24
008,active,3,P2,14.036787658563659,24
008,active,3,P3,10.614787422107524,24
008,passive,1,N1,7.845293631697982,23
008,passive,1,P2,11.023675910523384,23
008,passive,1,P3,8.53499737703052,23
008,passive,2,N1,7.692410881813292,26
008,passive,2,P2,9.871472167372083,26
008,passive,2,P3,7.012507297854953,26
008,passive,3,N1,6.48455487481188,20
008,passive,3,P2,11.757584532734194,20
008,passive,3,P3,9.925421828359445,20
009,active,1,N1,6.487030310302676,39
009,active,1,P2,4.2902038445567126,39
009,active,1,P3,2.6500587340715995,39
009,active,2,N1,10.233299165700009,39
009,active,2,P2,7.5955793756080405,39
009,active,2,P3,5.746004585112312,39
009,active,3,N1,9.573822642664936,39
009,active,3,P2,6.3522202717462815,39
009,active,3,P3,4.577269878976452,39
009,active,4,N1,12.907562741974468,38
009,active,4,P2,10.20588013887338,38
009,active,4,P3,10.318527847004939,38
009,passive,1,N1,5.972296297300684,39
009,passive,1,P2,5.29933227648205,39
009,passive,1,P3,3.947444293171595,39
009,passive,2,N1,6.550486893438647,39
009,passive,2,P2,3.41994207358189,39
009,passive,2,P3,1.1187124262085497,39
009,passive,3,N1,8.385694493757526,39
009,passive,3,P2,6.494737552317825,39
009,passive,3,P3,5.756245108848502,39
009,passive,4,N1,10.690658786532294,39
009,passive,4,P2,7.3885271974737705,39
009,passive,4,P3,5.348605207460174,39
010,active,1,N1,3.7307522709482672,16
010,active,1,P2,5.728814515967388,16
010,active,1,P3,4.321476589002426,16
010,active,2,N1,7.520917397177175,16
010,active,2,P2,9.656714676666155,16
010,active,2,P3,7.40195998434496,16
010,active,3,N1,7.542747508885572,13
010,active,3,P2,9.098550584598087,13
010,active,3,P3,7.165593840644006,13
