sub,condition,window,cluster,amplitude_uV
022,active,P1,parietal,0.278
022,active,P1,frontal,-5.388
022,active,N1,occipital,9.071
022,active,N1,posterior,7.109
022,active,N1,parietal,-3.175
022,active,N1,frontal,-11.647
022,active,P2,occipital,11.277
022,active,P2,posterior,11.377
022,active,P2,parietal,-0.436
022,active,P2,frontal,-11.091
022,active,P3,occipital,9.137
022,active,P3,posterior,9.433
022,active,P3,parietal,-2.279
022,active,P3,frontal,-13.465
022,active,Late,occipital,4.69
022,active,Late,posterior,5.118
022,active,Late,parietal,-2.76
022,active,Late,frontal,-11.345
022,passive,P1,occipital,3.888
022,passive,P1,posterior,5.265
022,passive,P1,parietal,0.755
022,passive,P1,frontal,-3.598
022,passive,N1,occipital,9.378
022,passive,N1,posterior,7.243
022,passive,N1,parietal,-3.054
022,passive,N1,frontal,-10.673
022,passive,P2,occipital,12.243
022,passive,P2,posterior,12.256
022,passive,P2,parietal,1.143
022,passive,P2,frontal,-8.685
022,passive,P3,occipital,9.312
022,passive,P3,posterior,9.84
022,passive,P3,parietal,-1.243
022,passive,P3,frontal,-11.487
022,passive,Late,occipital,6.091
022,passive,Late,posterior,6.991
022,passive,Late,parietal,-0.642
022,passive,Late,frontal,-9.861
024,active,P1,occipital,1.793
024,active,P1,posterior,2.332
024,active,P1,parietal,-2.466
024,active,P1,frontal,-5.253
024,active,N1,occipital,4.556
024,active,N1,posterior,1.694
024,active,N1,parietal,-7.855
024,active,N1,frontal,-11.783
024,active,P2,occipital,5.026
024,active,P2,posterior,2.801
024,active,P2,parietal,-10.221
024,active,P2,frontal,-20.505
024,active,P3,occipital,6.273
024,active,P3,posterior,6.811
024,active,P3,parietal,-3.825
024,active,P3,frontal,-18.199
024,active,Late,occipital,3.622
024,active,Late,posterior,4.807
024,active,Late,parietal,-0.202
024,active,Late,frontal,-9.633
024,passive,P1,occipital,1.281
024,passive,P1,posterior,1.618
024,passive,P1,parietal,-2.758
024,passive,P1,frontal,-3.694
024,passive,N1,occipital,3.876
024,passive,N1,posterior,1.331
024,passive,N1,parietal,-6.957
024,passive,N1,frontal,-8.929
024,passive,P2,occipital,3.409
024,passive,P2,posterior,1.155
024,passive,P2,parietal,-10.323
024,passive,P2,frontal,-16.49
024,passive,P3,occipital,3.421
024,passive,P3,posterior,3.577
024,passive,P3,parietal,-6.096
024,passive,P3,frontal,-15.575
024,passive,Late,occipital,1.804
024,passive,Late,posterior,2.604
024,passive,Late,parietal,-2.387
024,passive,Late,frontal,-8.537
025,active,P1,occipital,6.951
025,active,P1,posterior,7.591
025,active,P1,parietal,1.336
025,active,P1,frontal,-9.573
025,active,N1,occipital,10.093
025,active,N1,posterior,11.501
025,active,N1,parietal,6.505
025,active,N1,frontal,-6.545
025,active,P2,occipital,12.957
025,active,P2,posterior,15.12
025,active,P2,parietal,9.928
025,active,P2,frontal,-6.217
025,active,P3,occipital,12.139
025,active,P3,posterior,14.745
025,active,P3,parietal,10.463
025,active,P3,frontal,-7.345
025,active,Late,occipital,6.298
025,active,Late,posterior,7.693
025,active,Late,parietal,4.599
025,active,Late,frontal,-6.512
025,passive,P1,occipital,7.143
025,passive,P1,posterior,8.035
025,passive,P1,parietal,1.735
025,passive,P1,frontal,-8.553
