sub,session_type,n_pictures,estimated_duration_s,gap_s,actual_duration_s,actual_minus_gap_s,estimate_plus_gap_s,raw_ratio_total_actual,gap_removed_ratio,estimate_plus_gap_ratio,n_fixations_modeled_or_observed,n_trials
022,active,9,15.625,7.657375000000001,49.787909925000235,42.130534925000234,23.282375000000002,0.31278164696084443,0.37057241250436146,0.4682477720717432,9.0,4
022,active,12,21.25,10.242175,73.49581099999989,63.25363599999989,31.492175,0.29607560552672213,0.35103757336955876,0.4467906587599372,12.0,4
022,active,18,26.75,15.66175,111.42625594999981,95.7645059499998,42.41175,0.24538438363545656,0.29152925902593385,0.3967051541128634,18.0,4
022,constant,9,16.25,0.85,49.91164180000044,49.06164180000044,17.1,0.32384514991189484,0.3294698750553921,0.34101331033644766,1.0,4
022,constant,12,25.5,0.85,73.61991975000024,72.76991975000023,26.35,0.35415790238517453,0.35871609579412495,0.3666022172534684,1.0,4
022,constant,18,33.0,0.85,111.54144642499978,110.69144642499978,33.85,0.2958979829506544,0.29835191423460405,0.3040844105782721,1.0,4
022,passive,9,16.125,7.657375,49.95277329999999,42.29539829999999,23.782375,0.3203593756325448,0.37808425486093056,0.47521054195820656,9.0,4
022,passive,12,21.75,10.242175,73.69030859999975,63.44813359999975,31.992175,0.3107194759538922,0.36996959295295223,0.4610115748205501,12.0,4
022,passive,18,28.0,15.66175,111.54123149999975,95.87948149999976,43.66175,0.2522373488502337,0.2979911059959665,0.40331181121865806,18.0,4
024,active,9,9.75,7.95145,32.12568572500027,24.174235725000266,17.70145,0.31274395747357364,0.4270042607873742,0.5676701964209994,9.0,4
024,active,12,14.0,10.267949999999999,46.055919424999956,35.78796942499996,24.26795,0.33130236272314423,0.4411803590904849,0.5639284493635599,12.0,4
024,active,18,30.625,15.423325,78.70341660000008,63.28009160000008,46.048325,0.39724167490446094,0.505805099371534,0.6036076284392685,18.0,4
024,constant,9,14.875,0.85,32.22014645000013,31.370146450000128,15.725000000000001,0.45553751667075193,0.46801600844309155,0.4826760680895781,1.0,4
024,constant,12,39.625,0.85,46.163397825000175,45.31339782500017,40.474999999999994,0.7829002755745295,0.7967546690002059,0.8022252709535966,1.0,4
024,constant,18,58.125,0.85,78.81033952500002,77.96033952500002,58.974999999999994,0.6820294771749587,0.6892141036218736,0.6933677924241735,1.0,4
024,passive,9,12.75,7.95145,32.303742824999745,24.352292824999743,20.70145,0.3919813162959105,0.5285614833891644,0.6455819593480677,9.0,4
024,passive,12,18.375,10.26795,46.25470327499988,35.986753274999884,28.64295,0.39945028709959046,0.5248628495398693,0.6310304783526873,12.0,4
024,passive,18,44.75,15.423324999999998,78.98139472499997,63.55806972499997,60.173325000000006,0.5303724344898979,0.6605090531689082,0.735965874967232,18.0,4
025,active,9,8.375,7.957225,42.72933812499991,34.77211312499991,16.332225,0.21036332306412867,0.2661052035314059,0.4044699242314834,9.0,4
025,active,12,11.25,10.41055,65.43620790000011,55.02565790000011,21.66055,0.191415098407885,0.23416092523480783,0.35515949013964415,12.0,4
